pregunta,respuesta
Hay fechas estipuladas para hacer las prácticas profesionales?,"No se cuentan con fechas estipuladas, tu decides cuando empezar simplemente la fecha de inicio debe ser tres días hábiles posterior a la fecha que entregas documentación"
¿ Cuántas materias puedo reinscribir?,"Si eres alumno regular cualquier carga académica. Si eres alumno irregular, tiene derecho entre tu carga mínima y media. Consultar las cargas en : https://www.upiicsa.ipn.mx/estudiantes/gestionescolar.html#carga"
"¿ Si paso mis adeudos en la primera ronda de ETS, soy alumno regular?","No, eres alumno regular cuando al cierre del semestre no cuentas con materias adeudadas."
¿Si cuento con dictamen vigente puedo reinscribirme?,"Si, siempre y cuando tu dictamen ZACATENCO o UPIICSA te permita reinscripción. En caso de duda consulta con tu asesor de carrera https://www.upiicsa.ipn.mx/estudiantes/gestion-escolar.html#ase"
¿Cuánto es el tiempo de espera de mi tramite?,"ALGUNAS DE ESTAS SON AUTOMATICAS Y LAS PUEDES TRAMITAR EN EL SAES DE MANERA DIRECTA. Constancias (estudios, periodo vacacional, servicio social y prácticas) de 5 a 10 días hábiles Boleta Global de 15 a 20 días hábiles Boleta Global Certificada de 30 a 40 días hábiles. "
¿Qué dictamen debo de solicitar si estoy desfasado?,"Si tu periodo de ingreso es del 17/2 en adelante, deberás solicitar dictamen UPIICSA por oportunidad Si tu periodo es 17/1 hacía atrás, deberás solicitar dictamen CGC ZACATENCO por oportunidad"
¿Dónde puedo ver la resolución de mi dictamen?,"Si solicitaste dictamen UPIICSA, directamente en tu SAES en el apartado Dictamenes Si solicitaste dictamen CGC Zacatenco en la página de UPIICSA https://www.upiicsa.ipn.mx/estudiantes/gestion-escolar.html#dicz"
que onda,"Hola UPIICSIANX, cuál es tu duda? Estoy para ayudarte"
hello,"Hola UPIICSIANX, cuál es tu duda? Estoy para ayudarte"
¿Dónde puedo ver la resolución de mi dictamen?,"Si solicitaste dictamen UPIICSA, directamente en tu SAES en el apartado Dictamenes Si solicitaste dictamen CGC Zacatenco en la página de UPIICSA https://www.upiicsa.ipn.mx/estudiantes/gestion-escolar.html#dicz"
¿Cómo empiezo las prácticas profesionales?,Sigue las instrucciones que vienen en: https://www.upiicsa.ipn.mx/estudiantes/practicas-profesionales.html
¿Cómo puedo reportar a un profesor?,"Debes acercarte al jefe del edificio o bien, con el jefe de academia del profesor en cuestión. Puedes acercarte también con un alumno consejero para recibir orientación al respecto. "
¿Cómo acreditar electivas?,"Consulta las forma de acreditación de electivas, así como las evidencias que debes entregar y sus requisitos en: https://www.upiicsa.ipn.mx/estudiantes/electivas.html"
¿Qué pasa si repruebo una materia?,"Con base en el reglamento general de estudios, no acreditar una unidad de aprendizaje durante los periodos ordinarios para el registro de evaluaciones, tu situación de alumno pasa de ser ""regular"" a una situación académica ""irregular"" Quedando en tu kárdex el la calificación reprobatoria. "
¿Cómo acreditar electivas?,¿Cómo acreditar electivas?
¿Dónde es la academia de transporte?,"La academia de sistemas de transporte se ubica en el edificio de ingeniería, 2do piso. "
¿Cuál es la carta de dictamen HCTCE UPIICSA por oportunidad?,Consulta el formato de carta HCTCE UPIICSA de oportunidad en: https://www.upiicsa.ipn.mx/assets/files/upiicsa/estudiantes/gestion-escolar/carta-oportunidad-upiicsa.pdf
¿Cuál es el correo de bajas? ,El correo de bajas es: bajas.upiicsa@gmail.com
¿Cuáles son las actividades deportivas que ofrece la UPIICSA? ,"Consulta la información, entrenadores, horarios y requisitos en: https://www.upiicsa.ipn.mx/estudiantes/actividades-deportivas.html"
¿Qué es un seminario de titulación? ,"Consiste en una forma de titulación, en la que tienes que cursar y acrediar algunos de los seminarios ofertados en la unidad académica, consulta información más detallada sobre acreditación, créditos, aprobación en https://www.upiicsa.ipn.mx/educacion-continua/seminarios-de-titulacion.html"
¿Qué es la movilidad académica? ,"Es el desplazamiento de alumnos entre Instituciones académicas nacionales y extranjeras, públicas y privadas, con la finalidad de cursar Unidades de Aprendizaje a fines a su programa académico."
